cluster_0	7omm_D_NA_A
cluster_239	6q23_E_F_C 6q23_G_I_D 6q23_H_L_A 6q23_J_K_B
cluster_240	6qig_H_L_A
cluster_241	6tyb_H_L_G
cluster_242	7dzx_H_L_C
cluster_243	7f3q_C_B_A 7f7e_C_L_E
cluster_244	7lab_H_L_C 7lab_T_S_A 7lab_Y_X_B
cluster_245	7lf1_D_E_B 7lf1_F_H_C 7lf1_G_I_A 7lf1_K_L_M 7lf1_O_Q_N 7lf1_P_R_J
cluster_246	7mnl_H_L_A 7mnl_K_M_B 7mnm_H_L_A 7mnm_K_M_B 7mnn_H_L_A 7mnn_K_M_B 7mno_H_L_A 7mno_K_M_B
cluster_247	7o52_H_L_U
cluster_248	7ps2_A_B_G
cluster_249	7qu2_A_B_C
cluster_250	7sue_B_A_D 7sue_F_E_J 7sue_H_L_C 7sue_I_G_K
cluster_251	7u09_H_L_A
cluster_252	7v6n_E_D_A 7v6n_G_F_B 7v6n_I_H_C 7v6o_E_D_A 7v6o_G_F_B 7v6o_I_H_C
cluster_253	7ydi_H_L_E 7ye9_G_I_C 7ye9_H_L_A 7ye9_N_O_B 7yeg_G_I_C 7yeg_H_L_A 7yeg_N_O_B
cluster_254	7zyi_H_L_A
cluster_255	2b0s_H_L_P 2b1a_H_L_P 2b1h_H_L_P
cluster_256	2hrp_H_L_P 2hrp_N_M_Q
cluster_257	2qqn_H_L_A
cluster_258	3bky_H_L_P
cluster_259	3mlr_H_L_P 3mls_H_L_P 3mls_I_M_Q 3mls_J_N_R 3mls_K_O_S 3mlt_B_A_C 3mlt_H_L_P 3mlu_H_L_P 3mlv_H_L_P 3mlv_N_M_Q
cluster_260	3nps_B_C_A
cluster_261	3p30_H_L_A
cluster_262	3pnw_B_A_C 3pnw_E_D_F 3pnw_H_G_I 3pnw_K_J_L 3pnw_N_M_O 3pnw_Q_P_R 3pnw_T_S_U 3pnw_W_V_X
cluster_263	3whe_1_2_H 3whe_3_4_I 3whe_5_6_J 3whe_7_8_K 3whe_9_NA_L 3whe_M_N_A 3whe_O_P_B 3whe_Q_R_C 3whe_S_T_D 3whe_U_V_E 3whe_W_X_F 3whe_Y_Z_G
cluster_264	4dgv_H_L_A 4dgy_H_L_A 5kzp_E_I_B 5kzp_F_J_C 5kzp_G_K_D 5kzp_H_L_A
cluster_265	4hha_B_A_P
cluster_266	4hkx_A_B_E
cluster_267	4jhw_H_L_F 5udc_B_C_A 5udc_H_L_F 5udd_N_T_G 5udd_O_U_I 6s3d_A_B_N 6s3d_C_D_M 6s3d_E_F_O 6s3d_H_L_P
cluster_268	4o58_H_L_A 4o5i_M_N_A 4o5i_O_P_C 4o5i_Q_R_E 4o5i_S_T_G 4o5i_U_V_I 4o5i_W_X_K
cluster_269	4ywg_I_M_Q
cluster_270	5a3i_C_D_A 5a3i_G_H_E
cluster_271	5gs2_D_d_B
cluster_272	5k9k_A_B_I 5k9k_H_L_F
cluster_273	4utb_H_L_A 5n09_H_L_A 5n09_I_M_B 5n0a_H_L_A 5n0a_I_M_B
cluster_274	5a2i_H_h_P 5a2j_H_h_P 5a2k_H_h_P 5a2l_H_h_P 5fxc_H_h_P 5n7b_H_h_I 5owp_H_h_D 6frj_H_h_B 6fzq_H_h_P 6fzr_H_h_P 6tgg_H_h_P
cluster_275	5o1r_H_L_A 5o1r_I_M_B
cluster_276	5w1k_B_A_P 5w1k_G_F_E 5w1k_L_K_J 5w1k_T_S_R
cluster_277	6b0g_D_C_E
cluster_278	6cbv_H_L_B 6usf_H_L_D 6usf_K_M_A 6ww2_H_L_R 7tuy_H_L_R 8hii_H_L_A 8hij_H_L_A 8hik_H_L_A
cluster_279	6db6_H_L_P
cluster_280	6fy0_H_L_P 6fy0_I_M_A 6fy1_H_L_G 6fy2_H_L_P 6fy2_X_Y_Z
cluster_281	6fy3_H_L_P
cluster_282	6ln2_C_B_A
cluster_283	6n5d_C_D_A 6n5d_E_F_B 6n5d_L_N_K 6n5e_E_D_A 6n5e_G_F_B 6n5e_H_I_C
cluster_284	6ppg_B_A_G 6ppg_H_L_F
cluster_285	6umx_H_L_A 6umx_h_l_B
cluster_286	6vy5_H_L_A 6vy6_H_L_A
cluster_287	6wit_A_B_C 6wit_H_L_I
cluster_288	6xpr_B_C_A 6xpr_E_F_D
cluster_289	7chc_A_B_R 7che_A_B_R 7chf_A_B_R 7chh_D_E_A 7chh_G_H_B 7chh_J_K_C 7e8c_K_I_B 7e8c_M_J_A 7e8c_a_Z_C 7e8f_C_B_R
cluster_290	7e9n_H_L_A 7e9n_P_O_B 7e9n_Y_X_C 7e9o_H_L_A 7e9o_P_O_B 7e9o_Y_X_C 7e9p_H_L_B 7e9q_F_E_B 7e9q_H_L_A 7e9q_Y_X_C 7wly_P_O_B 7wly_Y_X_C 7wm0_H_L_B
cluster_291	7enf_P_O_B 7eng_H_L_B
cluster_292	7lf0_D_E_B 7lf0_F_H_C 7lf0_G_I_A 7lf0_K_L_N 7lf0_Q_O_J 7lf0_R_P_M
cluster_293	7ljr_S_T_A
cluster_294	7lm8_M_N_A 7lm9_H_L_A
cluster_295	7mzn_H_L_A
cluster_296	7n3c_H_L_C
cluster_297	7nab_A_B_D 7nab_H_L_C 7raq_H_L_P
cluster_298	2qr0_B_A_D 2qr0_F_E_C 2qr0_H_G_J 2qr0_L_K_I 2qr0_N_M_O 2qr0_R_Q_P 2qr0_T_S_U 2qr0_X_W_V 4g7y_H_L_S 4xmn_H_L_E 7niu_E_D_A 7niv_E_D_A
cluster_299	7phw_B_C_A 7phw_E_F_D 7pi3_F_G_A 7pi3_M_N_H 7pi3_T_U_O 7pi3_a_b_V
cluster_300	7rd5_B_A_F 7rd5_D_C_E
cluster_301	7s6j_C_D_B 7s6j_F_G_E 7s6j_H_L_A 7s6k_C_D_B 7s6k_F_G_E 7s6k_H_L_A 7s6l_H_L_A 7sbu_H_L_A
cluster_302	7skz_H_L_A
cluster_303	7tdn_H_L_B
cluster_304	7v3l_D_E_A 7v3l_F_G_B 7v3l_H_I_C
cluster_305	7wjy_E_F_D 7wjz_A_C_B 7wjz_D_N_I 7wjz_E_O_J 7wjz_F_P_K 7wjz_G_Q_L 7wjz_H_R_M 7wk0_A_B_C 7wk0_D_E_F
cluster_306	1adq_H_L_A
cluster_307	1mpa_H_L_P 2mpa_H_L_P
cluster_308	1hys_D_C_B 1j5o_H_L_B 1n5y_H_L_B 1n6q_H_L_B 1r0a_H_L_B 1t03_H_L_B 2hmi_D_C_B 3klh_D_C_B
cluster_309	2brr_H_L_P 2brr_Y_X_P
cluster_310	2j4w_H_L_D 2j5l_C_B_A
cluster_311	3hi1_B_A_J 3hi1_H_L_G
cluster_312	3ulu_H_L_A 3ulv_H_L_A
cluster_313	3bae_H_L_A 3bkj_H_L_A 4f37_F_K_B 4f37_H_L_A
cluster_314	4hs8_H_L_A
cluster_315	4jb9_H_L_G
cluster_316	4jfx_H_L_P 4jfz_H_L_P 4jg0_H_L_P 4jg1_H_L_P
cluster_317	4qww_D_C_B 4qww_F_E_A
cluster_318	4rwy_H_L_A 4rx4_A_D_E 4rx4_H_L_G
cluster_319	4xgz_A_B_a 4xgz_G_I_g 4xgz_U_V_u 4xgz_W_X_w 5eii_A_B_I 5eii_H_L_G
cluster_320	5fgc_E_B_A
cluster_321	5jym_B_b_A 5jym_D_d_C
cluster_322	5kov_C_c_A 5kov_E_e_B 5kov_I_i_G 5kov_K_k_H 5kov_O_o_M 5kov_U_u_T
cluster_323	5w1k_D_C_E 5w1k_I_H_J 5w1k_O_N_P 5w1k_Q_M_R
cluster_324	5w6g_H_L_A
cluster_325	5hhv_H_L_A 6azm_B_A_E 6azm_D_C_F 6txz_H_L_A 6uta_A_B_C 6uta_H_L_E
cluster_326	6bf4_B_C_A 6bf4_H_L_G
cluster_327	2oqj_B_A_C 2oqj_E_D_F 2oqj_H_G_I 2oqj_K_J_L 6cxg_H_L_A 6cxg_M_K_C 6e5p_3_4_E 6e5p_H_L_A 6e5p_S_T_C 7l02_M_K_A 7l06_G_E_B 7l06_M_K_A 7l09_M_K_A
cluster_328	6fn1_C_B_A 6fn4_C_B_A 6qee_C_B_A 6qex_C_B_A 7o9w_C_B_A
cluster_329	6k7o_B_C_P 6k7o_D_E_Q 6k7o_F_G_R 6k7o_H_L_A
cluster_330	6meh_H_L_C
cluster_331	6n81_C_D_B 6n81_H_L_A
cluster_332	6o23_A_B_E 6o23_C_D_E 6o25_E_F_H
cluster_333	6o28_A_B_E 6o28_C_D_F 6o29_A_B_C 6o29_H_L_D 6o2a_A_B_F 6o2a_H_I_K 6o2b_A_B_F 6o2b_H_I_K 6o2c_A_B_C
cluster_334	6oe4_B_C_A 6oe4_E_F_D 6oe5_H_L_A
cluster_335	6p3s_A_B_L 6p3s_C_D_E 6p3s_F_G_H 6p3s_I_J_K 6p3s_M_N_O 6p3s_P_Q_R 6p3s_S_T_U
cluster_336	6plk_H_L_E 6plk_I_M_F
cluster_337	6vry_H_L_G
cluster_338	6wm9_B_C_A 6wm9_E_F_D
cluster_339	6wzt_E_D_B 6wzt_G_F_C 6wzt_H_L_A
cluster_340	6ye3_A_B_C 6ye3_D_E_F 6ye3_G_H_I
cluster_341	7cm4_H_L_A
cluster_342	7coe_B_C_D 7coe_H_L_A
cluster_343	7djz_A_B_C
cluster_344	7dzy_H_L_B 7dzy_M_N_C 7dzy_O_P_A
cluster_345	7jkt_H_L_G
cluster_346	7jtr_B_b_A 7jtr_D_d_C 7jtr_F_f_E 7jtr_H_h_G
cluster_347	7k75_A_B_E 7k75_C_D_F 7k75_I_J_F 7k75_M_N_E
cluster_348	1n8z_B_A_C 3bdy_H_L_V 3be1_H_L_A 5u3d_B_A_E 6bgt_B_A_C 6oge_E_D_A 7kez_H_L_V 7kf0_A_B_C 7kf0_H_L_V 7kf1_A_B_C 7kf1_D_E_F 7kf1_G_I_J 7kf1_H_L_V 7mn8_D_C_B 8q6j_B_A_E
cluster_349	4tsa_H_L_A 6xc2_H_L_A 6xc2_X_Y_Z 6xc3_B_A_C 6xe1_H_L_E 7bz5_H_L_A 7czr_H_K_A 7czr_J_N_C 7czs_H_K_A 7czs_I_M_B 7czs_J_N_C 7d00_H_K_A 7d00_J_N_C 7d0c_G_F_C 7d0c_H_L_A 7k8m_A_B_E 7kfv_C_D_B 7kfv_F_G_E 7kfv_H_L_A 7kfw_C_D_B 7kfw_F_G_E 7kfw_H_L_A 7kfx_H_L_A 7kfy_H_L_A 7mjj_D_E_A 7mjj_F_G_B 7mjk_D_E_A 7mjk_F_G_B 7mjk_H_I_C 7mjl_H_L_A 7qf0_H_L_A 8cwv_H_L_A
cluster_350	7kmg_A_B_C 7kmg_D_E_F
cluster_351	7kqh_C_D_A 7kqh_H_L_B
cluster_352	7n28_X_Y_F
cluster_353	7ox1_A_B_G 7ox1_C_D_Z 7ox1_E_F_Y 7ox1_H_L_X
cluster_354	7pi2_B_C_A 7pi2_E_F_D 7pi2_H_I_G 7pi2_K_L_J 7pi3_B_C_A 7pi3_I_J_H 7pi3_P_Q_O 7pi3_W_X_V
cluster_355	7pqz_A_B_E
cluster_356	5wi9_F_E_B 5wi9_H_L_A 7prz_H_L_E
cluster_357	7rk1_C_c_A 7rk1_D_d_B
cluster_358	5gzo_C_D_B 5gzo_H_L_A 7mdp_H_I_A 7rp2_H_I_A 7rp3_H_I_A
cluster_359	7s0c_H_L_A 7s0c_M_N_B 7s0e_H_L_A
cluster_360	7u0a_H_L_A
cluster_361	7upw_D_E_A 7upw_F_G_B 7upw_H_L_C 7upx_H_L_A 7upy_D_E_C 7upy_F_G_A 7upy_H_L_B
cluster_362	7wo4_D_E_B 7wo4_F_G_A 7wo4_H_I_C 7wo4_M_N_K 7wo4_O_P_J 7wo4_Q_R_L 7wo5_D_E_B 7wo5_F_G_A 7wo5_H_I_C 7wo7_A_B_C
cluster_363	7wpd_X_Y_A 7wpe_U_V_A 7wpe_X_Y_B 7wpf_R_S_B 7wpf_U_V_C 7wpf_X_Y_A 7wrv_U_V_C 7xod_R_NA_B 7xod_U_V_C 7xod_X_Y_A
cluster_364	7zce_E_e_C 7zce_F_f_B 7zce_G_g_A 7zcf_E_e_C
cluster_365	8dp1_E_F_B 8dp1_N_O_J 8dp1_R_M_W
cluster_366	8dzw_H_L_C 8dzw_I_M_A 8dzw_J_N_B
cluster_367	1dzb_A_a_X
cluster_368	1dzb_B_b_Y
cluster_369	1za3_B_A_S 1za3_H_L_R
cluster_370	2osl_A_B_Q 2osl_H_L_P 6vja_H_L_C 6vja_I_M_D 6y90_C_D_B 6y90_H_L_A
cluster_371	3bn9_F_E_A
cluster_372	3ngb_B_C_A 3ngb_E_F_D 3ngb_H_L_G 3ngb_J_K_I 4lss_H_L_G 4lst_H_L_G 5kzc_B_D_C 5kzc_E_G_F 5kzc_H_L_A 6v8x_C_D_A 6v8x_G_H_E 6v8x_K_L_I 6vlw_H_L_G
cluster_373	3q3g_B_A_E 3q3g_D_C_G 3q3g_H_F_I 3q3g_K_J_L 3qa3_B_A_E 3qa3_D_C_G 3qa3_H_F_I 3qa3_K_J_L
cluster_374	3ulu_D_C_A 3ulv_D_C_A
cluster_375	3vg9_C_B_A 3vga_C_B_A
cluster_376	4f9p_C_c_A 4f9p_D_d_B
cluster_377	4hfu_H_L_A
cluster_378	4idj_H_L_A
cluster_379	4j4p_C_D_B 4j4p_H_L_A
cluster_380	4ki5_E_F_M 7kbt_E_F_A
cluster_381	4n9g_A_B_C 4n9g_E_F_D 4n9g_H_L_Y 4n9g_M_N_Z
cluster_382	4qnp_H_L_B
cluster_383	3rhw_H_L_A 3rhw_J_M_E 3ri5_H_L_A 3ri5_J_M_E 3ria_H_L_A 3ria_J_M_E 3rif_G_K_C 3rif_H_L_A 4tnv_F_N_B 4tnv_G_K_C 4tnv_H_L_A 4tnv_I_O_D 4tnv_J_M_E 4tnv_U_h_Q 4tnv_V_Z_R 4tnv_W_f_P 4tnv_X_i_S 4tnv_Y_g_T 4tnw_F_N_B 4tnw_G_K_C 4tnw_H_L_A 4tnw_I_O_D 4tnw_J_M_E 4tnw_U_h_Q 4tnw_V_Z_R 4tnw_W_f_P 4tnw_X_i_S 4tnw_Y_g_T
cluster_384	5e94_B_A_G 5e94_D_C_H
cluster_385	5udc_E_G_D 5udd_J_P_A
cluster_386	5vgj_H_L_G
cluster_387	3s36_H_L_X 3s37_H_L_X 6apd_J_L_C 6apd_K_M_B 6apd_N_O_A 6att_H_L_A
cluster_388	1bj1_H_L_W 1bj1_K_J_V 1cz8_H_L_W 1cz8_Y_X_V 6bft_A_B_G 6bft_H_L_C
cluster_389	6c6z_C_D_A 6c6z_H_L_B
cluster_390	6cyf_D_C_A 6cyf_F_E_B 6cyf_M_L_I 6cyf_U_T_Q
cluster_391	6d0x_A_B_C
cluster_392	6glx_C_D_B 6glx_H_L_A
cluster_393	6lbh_C_D_B 6lbh_E_F_A
cluster_394	6mqe_A_B_D 6mqe_H_L_C 6n1w_3_4_A 6n1w_H_L_D 6n1w_h_l_d
cluster_395	6mqs_A_B_E 6mqs_C_D_F 6n1v_1_2_E 6n1v_3_4_F 6n1v_H_L_D
cluster_396	6mvl_H_L_A
cluster_397	6oc3_A_B_F 6oc3_C_D_E 6ocb_H_L_A 7u8m_N_O_C 7u8m_Q_R_A 7u8m_T_U_G
cluster_398	6oz2_H_L_G 6oz4_H_L_G
cluster_399	6phd_H_L_C
cluster_400	6rcv_C_B_A 6rcv_H_G_F
cluster_401	6ule_A_B_I 6ule_C_D_I
cluster_402	6uoe_H_L_P
cluster_403	6uqr_A_a_B 6uqr_C_c_D
cluster_404	6urm_D_E_C 6urm_H_L_F
cluster_405	6w00_H_L_P 6wg2_H_L_P 6wg2_I_M_P
cluster_406	6w05_H_L_P
cluster_407	6wfx_H_L_P
cluster_408	6wh9_B_C_G 6wh9_E_F_D 6wh9_H_I_A
cluster_409	6wty_B_C_A 6wty_E_F_D 6wty_H_I_G 6wty_K_L_J
cluster_410	6wzj_A_B_E 6wzj_C_D_F 6wzk_A_B_E 6wzk_C_D_F 6wzl_A_B_E 6wzl_C_D_F 6wzm_A_B_E 6wzm_C_D_F
cluster_411	5x8m_B_C_A 6x4t_B_E_C 6x4t_D_F_A 7dk2_A_B_C 7dk2_D_E_F 7dk2_G_H_I 7dk2_J_K_L
cluster_412	6xdg_B_D_E 6xkp_H_L_A 6xkp_M_N_B
cluster_413	6xy2_H_L_A
cluster_414	4ut9_H_L_A 4ut9_I_M_B 4ut9_J_N_D 4ut9_K_O_C 5h30_G_H_A 5h30_I_M_C 5h30_K_L_B 5h32_G_H_A 5h32_I_M_C 5h32_K_L_B 5h37_G_H_A 5h37_I_M_C 5h37_K_L_B 7a3n_H_L_A 7a3o_H_L_A 7a3p_H_L_A 7a3p_I_M_B 7a3q_H_L_A 7a3q_I_M_B 7a3u_H_L_A 7c2s_G_H_B 7c2t_K_L_B 7c2t_V_W_N 7cth_I_M_B 7v3h_G_H_A 7v3h_I_M_C 7v3h_K_L_B 8cxh_H_L_A
cluster_415	7ben_A_B_E 7ben_G_I_C 7beo_A_B_R 7beo_E_F_X 7orb_A_B_R 7orb_E_F_X
cluster_416	7czy_H_K_A 7czy_J_N_C 7czz_H_K_A 7czz_I_M_B 7czz_J_N_C
cluster_417	7fci_H_L_A
cluster_418	7jks_H_L_G
cluster_419	7jtg_A_B_E
cluster_420	7ley_D_E_A 7ley_G_F_B 7ley_H_I_C
cluster_421	7lfb_H_L_X 7lfd_H_L_A
cluster_422	7lq7_C_D_B 7lq7_F_G_E 7lq7_H_L_A
cluster_423	7m42_B_A_E
cluster_424	7mf1_H_L_A
cluster_425	7ntc_H_L_C
cluster_426	7b0b_H_L_F 7ben_D_F_C 7ben_H_L_E 7beo_C_D_X 7beo_H_L_R 7lrs_D_E_C 7lrt_D_E_C 7mlz_H_L_A 7nd9_H_L_B 7ndb_H_L_B 7ora_F_G_R 7ora_H_L_C 7orb_C_D_X 7orb_H_L_R 7s5r_B_C_A 7tbf_H_L_A 7u0d_O_P_B
cluster_427	7ox4_A_B_C
cluster_428	7ps5_H_L_E
cluster_429	7qny_A_B_E
cluster_430	7rk2_C_c_B 7rk2_D_d_A
cluster_431	6oz3_H_L_G 7sx6_B_C_A 7sx6_H_L_G 7sx7_B_C_A 7sx7_H_L_G
cluster_432	7t7b_H_L_A
cluster_433	7u0e_A_B_D 7u0e_H_L_C
cluster_434	7u0p_D_I_B 7u0p_E_F_C 7upl_E_D_B 7upl_F_I_A
cluster_435	7uym_H_L_P 7v05_A_a_X 7v05_B_b_X 7v05_C_c_X 7v05_D_d_X 7v05_E_e_X 7v05_F_f_X 7v05_G_g_X 7v05_H_h_X 7v05_I_i_X 7v05_J_j_X 7v05_K_k_X 7v05_L_l_X 7v05_M_m_X 7v05_N_n_X
cluster_436	7z0x_H_L_R
cluster_437	7zf5_D_F_E 7zf5_G_I_A
cluster_438	7zfa_E_F_B 7zfa_H_L_A 7zfa_J_K_C 7zfa_M_N_D
cluster_439	7zfd_A_B_F 7zfd_H_L_E
cluster_440	1dee_D_C_G 1dee_F_E_H 1hez_D_C_E
cluster_441	1h0d_B_A_C
cluster_442	1qfu_H_L_A
cluster_443	1wej_H_L_F
cluster_444	2ipu_G_K_P 2ipu_H_L_Q 2r0w_H_L_Q 2r0z_H_L_Q 3eys_H_L_Q 3eyu_H_L_Q
cluster_445	2xra_H_L_A
cluster_446	3g6d_H_L_A 5d70_H_L_A 5d71_H_L_A
cluster_447	3l5w_B_A_J 3l5w_H_L_I
cluster_448	3l5x_H_L_A 4ps4_H_L_A
cluster_449	3w2d_H_L_A
cluster_450	4hg4_J_K_A 4hg4_L_M_B 4hg4_N_O_C 4hg4_V_W_G
cluster_451	4jpw_H_L_G
cluster_452	3eo1_B_A_C 3eo1_E_D_F 3eo1_H_G_I 3eo1_K_J_L 4kxz_H_L_A 4kxz_J_I_B 4kxz_N_M_E 4kxz_Q_P_D
cluster_453	4uao_C_B_A
cluster_454	4ybl_B_C_A 4ybl_H_L_G 4yc2_B_C_A 4yc2_H_L_G
cluster_455	4ydl_B_C_A 4ydl_H_L_G
cluster_456	4yfl_F_I_E 4yfl_H_L_G
cluster_457	4yk4_C_B_A 4yk4_Z_Y_E
cluster_458	4yue_H_L_C
cluster_459	4yzf_E_F_A 4yzf_G_H_B 4yzf_I_J_C 4yzf_K_L_D
cluster_460	5dmi_H_L_A
cluster_461	5fb8_B_A_C
cluster_462	5gmq_B_C_A
cluster_463	5o14_C_D_B 5o14_H_L_A
cluster_464	5t33_H_L_G
cluster_465	5te4_H_L_G 5te6_H_L_G 5te7_H_L_G
cluster_466	5utz_B_C_A 5utz_F_G_E 5utz_H_L_D 5utz_J_K_I
cluster_467	5viy_H_G_F 5viy_J_I_D
cluster_468	5xhv_H_L_E 5xhv_P_Q_A
cluster_469	5yhl_H_L_A 5ywy_H_L_A
cluster_470	6a0z_H_L_A
cluster_471	6bkd_H_L_E
cluster_472	6bt3_B_A_N 6bt3_D_C_M 6bt3_F_E_L
cluster_473	6apd_D_E_A 6apd_F_G_C 6apd_H_I_B 6dc5_B_C_A 6dc5_E_F_D 6dc5_H_I_G
cluster_474	6dcw_H_L_T 6gk7_H_L_A
cluster_475	6iek_B_C_A 6iek_E_F_D
cluster_476	6ii8_G_I_A 6ii8_H_L_C 6ii8_J_K_E 7s0b_A_B_F
cluster_477	6m3b_C_B_A
cluster_478	5i8c_A_B_C 5i8h_E_F_B 5i8h_G_H_D 6me1_A_B_F 6me1_C_D_E
cluster_479	6mnr_H_L_P 6mns_A_B_Q 6mns_H_L_P
cluster_480	6n7j_A_B_D 6n7j_H_L_C
cluster_481	6o3l_A_B_E 6o3l_H_L_D
cluster_482	6p67_A_B_K 6p67_C_D_J 6p67_E_F_G
cluster_483	6v4o_A_B_I 6v4o_C_G_M 6v4o_D_E_W 6v4o_H_L_N
cluster_484	6vbq_A_B_I 6vbq_C_D_K 6vbq_E_F_J 6vbq_H_L_P
cluster_485	6vjt_H_L_P
cluster_486	6wg0_H_L_P
cluster_487	6wo3_H_L_E
cluster_488	6x78_B_A_I 6x78_H_L_G
cluster_489	6xcj_H_L_G
cluster_490	6xq4_C_B_A 6xq4_E_F_D
cluster_491	3ixt_A_B_C 3ixt_H_L_P 3qwo_A_B_C 3qwo_H_L_P 4jlr_A_B_C 4jlr_H_L_S 4zyp_J_L_C 4zyp_K_M_A 4zyp_N_O_B 6oe5_B_C_A 6ywd_A_B_C
cluster_492	7a0w_C_D_A 7a0w_E_F_B 7a0x_C_D_A 7a0x_E_F_B 7a0y_C_D_A 7a0y_E_F_B
cluster_493	7ahv_A_B_H
cluster_494	4hwb_H_L_A 5tz2_H_L_C 7bnv_H_L_A
cluster_495	7c94_B_A_C 7c94_E_D_F
cluster_496	4tsb_H_L_A 7b3o_H_L_E 7chs_H_L_E 7czq_H_K_A 7czq_J_N_C 7n3i_H_L_C 7q0g_H_L_E
cluster_497	7f9w_B_C_A
cluster_498	7fcp_B_D_A
cluster_499	7k76_A_B_P 7k76_H_L_P
cluster_500	7klg_H_L_A 7klg_I_M_B 7klh_H_L_A 7klh_I_M_B 7kmk_H_L_A 7kmk_I_M_B 7kml_H_L_A 7kml_I_M_B 7kml_J_N_C 7kxj_H_L_A 7kxj_I_M_B 7kxj_J_N_C 7kxk_H_L_A 7kxk_I_M_B 7kxk_J_N_C
cluster_501	7lcn_B_D_A 7lcn_H_L_C 7lcn_M_S_K
cluster_502	7mzk_H_L_A 7mzk_N_M_B
cluster_503	7n3d_H_L_C
cluster_504	7n4l_H_L_A
cluster_505	7n62_H_L_A
cluster_506	7rah_B_A_E
cluster_507	7rxj_A_B_G 7rxj_H_L_I
cluster_508	7mzj_C_D_B 7mzk_C_D_B 7mzk_F_E_A 7s0b_C_D_E 7s0d_H_L_C 7s0d_M_N_A 7s0d_O_P_B
cluster_509	7st8_H_L_S
cluster_510	7syy_H_L_A 7syz_H_L_A
cluster_511	7v26_a_b_A 7v26_c_d_C 7v26_e_f_E 7v27_B_A_C
cluster_512	7v61_H_K_B 7v61_I_M_D
cluster_513	7y0v_H_L_R
cluster_514	6axk_A_B_E 6mb3_A_K_E 6mb3_B_M_E 6mb3_C_N_E 6mb3_D_O_E 6mb3_F_P_E 6mb3_G_Q_E 6mb3_H_L_E 6mb3_I_R_E 6mb3_J_S_E 6mhg_A_N_E 6mhg_B_O_E 6mhg_C_P_E 6mhg_D_Q_E 6mhg_F_R_E 6mhg_G_S_E 6mhg_H_L_E 6mhg_I_T_E 6mhg_J_U_E 6mhg_K_V_E 6mhg_M_W_E 8ekf_H_L_C
cluster_515	1nfd_F_E_B 1nfd_H_G_D
cluster_516	1s78_D_C_A 1s78_F_E_B 6oge_C_B_A 8q6j_D_C_E
cluster_517	1tzh_B_A_W 1tzh_H_L_V
cluster_518	1tzi_B_A_V
cluster_519	2ltq_C_B_A 2ltq_F_E_D 2qhr_H_L_P 2zuq_C_B_A 2zuq_F_E_D
cluster_520	2qqk_H_L_A 2qql_H_L_A
cluster_521	2v17_H_L_A
cluster_522	3ghe_H_L_P
cluster_523	3go1_H_L_P
cluster_524	3ifp_A_B_Q 3ifp_C_D_R 3ifp_E_F_S 3ifp_H_L_P
cluster_525	3o2d_H_L_A 7t0r_C_B_D 7t0r_H_L_A
cluster_526	3sob_H_L_B
cluster_527	3vrl_E_F_D 3vrl_H_L_C 5do2_C_D_B 5do2_H_L_A
cluster_528	3x3f_H_L_A
cluster_529	1ots_C_D_A 1ots_E_F_B 1ott_C_D_A 1ott_E_F_B 1otu_C_D_A 1otu_E_F_B 2exw_C_D_A 2exw_E_F_B 2exy_C_D_A 2exy_E_F_B 2ez0_C_D_A 2ez0_E_F_B 2fec_I_L_B 2fec_J_O_A 2fed_C_D_A 2fed_E_F_B 2fee_I_L_B 2fee_J_O_A 2h2p_C_D_A 2h2p_E_F_B 2h2s_C_D_A 2h2s_E_F_B 2hlf_C_D_A 2hlf_E_F_B 2ht2_C_D_A 2ht2_E_F_B 2ht3_C_D_A 2ht3_E_F_B 2ht4_C_D_A 2ht4_E_F_B 2htk_C_D_A 2htk_E_F_B 2htl_C_D_A 2htl_E_F_B 2r9h_C_D_A 2r9h_E_F_B 3det_C_D_A 3det_E_F_B 3ejy_C_D_A 3ejy_E_F_B 3ejz_C_D_A 3ejz_E_F_B 4ene_C_D_A 4ene_E_F_B 4fg6_C_D_A 4fg6_E_F_B 4kjp_C_D_A 4kjp_E_F_B 4kjq_C_D_A 4kjq_E_F_B 4kjw_C_D_A 4kjw_E_F_B 4kk5_C_D_A 4kk5_E_F_B 4kk6_C_D_A 4kk6_E_F_B 4kk8_C_D_A 4kk8_E_F_B 4kk9_C_D_A 4kk9_E_F_B 4kka_C_D_A 4kka_E_F_B 4kkb_C_D_A 4kkb_E_F_B 4kkc_C_D_A 4kkc_E_F_B 4kkl_C_D_A 4kkl_E_F_B 4lou_C_D_A 4lou_E_F_B 4mqx_C_D_A 4mqx_E_F_B 5hd8_C_D_A 5hd8_E_F_B 6ad7_C_D_A 6ad7_E_F_B 6ad8_C_D_A 6ad8_E_F_B 6ada_C_D_A 6ada_E_F_B 6adb_C_D_A 6adb_E_F_B 6adc_C_D_A 6adc_E_F_B 6k5a_C_D_A 6k5a_E_F_B 6k5d_C_D_A 6k5d_E_F_B 6k5f_C_D_A 6k5f_E_F_B 6k5i_C_D_A 6k5i_E_F_B 7cvs_C_D_A 7cvs_E_F_B 7cvt_C_D_A 7cvt_E_F_B
cluster_530	4fqj_H_L_A 4fqk_E_F_C 4fqk_H_L_A
cluster_531	4lsp_H_L_G 4lsq_H_L_G 4lsr_H_L_G
cluster_532	4m7l_H_L_T
